Study name,Accession,Primary GPA,DAC,External Data Source,PI,Registration Status��
Impact of Genomic Variation on Function (IGVF) Consortium,phs003472.v1.p1,Sharna Tingle,NHGRI,Yes,J. Cherry,Released
A missense SNP in the tumor suppressor SETD2 reduces H3K36me3 and mitotic spindle integrity in Drosophila,phs003474.v1.p1,Freddie Pruitt,NCI DAC,,Rebecca Arnold,Released
Impact of Chemotherapy on the Somatic Mutation Burden of Sperm and Other Tissues,phs003476.v1.p1,Freddie Pruitt,NCI DAC,,Jonathan Shoag,Released
CEBP-Beta/IL-1-Beta/ TNF-alpha Feedback Loop Drives Drug Resistance to BCL2 and MDM2 Inhibitors in Monocytic Leukemia Cells,phs003479.v1.p1,Freddie Pruitt,NCI DAC,,Haijiao Zhang,Released
Single-cell RNA-sequencing of human prostatectomy tissue,phs003480.v1.p1,Freddie Pruitt,NCI DAC,,Srinivasan Yegnasubramanian,Released
Epigenomics of Prostate Cancer from Cell Free Plasma,phs003482.v2.p1,Abid Al Reza,NCI DAC,,David Takeda,Released
Acquired Cross-Resistance in Small Cell Lung Cancer Patient-Derived Xenografts,phs003486.v1.p1,Freddie Pruitt,NCI DAC,,Benjamin Drapkin,Released
Center for Common Disease Genomics (CCDG) - Cardiovascular: Southern Community Cohort,phs003487.v1.p1,Sharna Tingle,NHGRI,Yes,Nathan Stitziel,Completed by GPA
APOLLO2: Applied Proteogenomics of High Grade Serous Ovarian Carcinoma,phs003488.v1.p1,Sean Hanlon,NCI DAC,Yes,Thomas Conrads,Released
Impact of genetic variation on response to GO therapy in COG-AML Trials AAML03P1 and AAML0531,phs003490.v1.p1,Freddie Pruitt,NCI DAC,,Jatinder Lamba,Released
CIDR: Multi-Ancestry Mapping of Pancreatic Cancer Susceptibility Loci: The Pancreatic Cancer Case Control Consortium and Pancreatic Cancer Cohort Consortium � PanScan Collaboration,phs003492.v1.p1,Barbara Thomas,NCI DAC,,Alison Klein,Completed by GPA
Environmental chemical body burden and prospective breast cancer risk in the cancer prevention study-3 cohort - CIDR,phs003494.v1.p1,Amanda Garton,ES DAC,,Susan Neuhausen,Completed by GPA
Utility of Capillary Blood in Gene Expression Studies,phs003496.v1.p1,Sharna Tingle,NHGRI,,Scott Nicholson,Released
Center for Common Disease Genomics (CCDG) - Cardiovascular: Multiethnic Cohort,phs003499.v1.p1,Sharna Tingle,NHGRI,,Nathan Stitziel,Awaiting GPA's Approval
Circulating tumor DNA analyses of breast cancer patients paired and over time,phs003500.v1.p1,Freddie Pruitt,NCI DAC,,Daniel Stover,Completed by GPA
Systems analysis of single-cell heterogeneity underlying glioma drug resistance,phs003501.v1.p1,Freddie Pruitt,NCI DAC,,James Park,Released
ILyAD (Indolent Lymphoma And vitamin D),phs003503.v1.p1,Freddie Pruitt,NCI DAC,,Jonathan Friedberg,Released
National Cancer Institute Multi-Ancestry Genome-Wide Association Study of Kidney Cancer (NCI-3),phs003505.v1.p1,Geoffrey Tobias,NCI DAC,,Mark Purdue,Released
Human Single-Cell Data,phs003508.v1.p1,Sharna Tingle,NHGRI,,Anupriya Agarwal,Released
Direct Transposition of Native DNA for Sensitive Multimodal Single-molecule Sequencing,phs003511.v1.p1,Sharna Tingle,NHGRI,,Vijay Ramani,Released
Identification of host genetic factors that are determinant for the development of severe forms of COVID-19 in adults and children,phs003512.v1.p1,Sharna Tingle,NHGRI,,Luydson Vasconcelos,Released
DNA methylation in prostate tumor and paired benign tissue for African and European ancestry men,phs003516.v1.p1,Freddie Pruitt,NCI DAC,,Brandon Pierce,Released
A Cohort Study to Evaluate Genetic Predictors of Aromatase Inhibitor Musculoskeletal Symptoms (AIMSS),phs003517.v1.p1,Freddie Pruitt,NCI DAC,,Vered Stearns,Released
Development and application of a scalable workflow for immunomagnetic separation of exRNA carrier subclasses and molecular analysis of their cargo.,phs003518.v1.p1,Justin Benavidez,NCI DAC,,Louise Laurent,Completed by GPA
Childhood Cancer Data Initiative (CCDI): Single-cell atlas of NF1 nerve sheath tumors,phs003519.v1.p1,Freddie Pruitt,NCI DAC,Yes,John Shern,Released
Epigenetic damage in women living in LA food-desert zip codes,phs003522.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Victoria Seewaldt,Released
"Correlative studies in Protocol BACCI, which studied Capecitabine, B",phs003526.v1.p1,Freddie Pruitt,NCI DAC,Yes,Andrew Nixon,Completed by GPA
"Correlative studies in Protocol NRG-LU004, which studied radiation and immunotherapy in lung cancer, in collaboration with CIMAC-CIDC",phs003528.v1.p1,Freddie Pruitt,NCI DAC,Yes,Steven Lin,Completed by GPA
"Dana-Farber/Harvard Cancer Center Experimental Therapeutics Trials Network Site (DF/HCC ETCTN Site) 9825, 9875, and 9984 Analyses",phs003534.v1.p1,Grace Mishkin,NCI DAC,,Geoffrey Shapiro,Completed by GPA
INTEGRATING GENOMIC AND TRANSCRIPTOMIC DATA TO IDENTIFY BREAST CANCER SUSCEPTIBILITY GENES,phs003535.v2.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Wei Zheng,Completed by GPA
Dana-Farber/Harvard Cancer Center Experimental Therapeutics Trials Network Site (DF/HCC ETCTN Site) Trial 10057,phs003536.v1.p1,Freddie Pruitt,NCI DAC,Yes,Geoffrey Shapiro,Completed by GPA
HudsonAlpha Long Read Sequencing Data of Individuals with Rare Suspected Genetic Conditions,phs003537.v1.p1,Sharna Tingle,NHGRI,Yes,Gregory Cooper,Released
Light at night and prostate cancer in the Health Professionals Follow up Study,phs003538.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Lorelei Mucci,Released
Rapid Acceleration of Diagnostics - Underserved Populations (RADx-UP): Increasing COVID-19 vaccine uptake through a patient navigation intervention among underserved populations,phs003544.v1.p1,Shu Hui Chen,RADx,Yes,Hala Madanat,Released
Gene Expression and Biomarker Utility in Post-Mortem Samples,phs003546.v1.p1,Sharna Tingle,NHGRI,,Scott Nicholson,Released
3D Genomic Mapping of Human Pancreatic Precancers,phs003549.v1.p1,Justin Benavidez,NCI DAC,,Laura Wood,Completed by GPA
The MD Anderson Cutaneous Melanoma Case Control Study,phs003555.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Chad Huff,Completed by GPA
Molecular characterization of Wilms tumor specimens,phs003559.v1.p1,Joseph Flores-Toro,NCI DAC,,Kenneth Chen,Completed by GPA
The role of E2F4 in controlling resistance to irinotecan (CPT-11) in human colon cancer,phs003560.v1.p1,Freddie Pruitt,NCI DAC,,Piero Dalerba,Released
Spatial transcriptomics reveals discrete tumour microenvironments and autocrine loops within ovarian cancer subclones,phs003561.v1.p1,Freddie Pruitt,NCI DAC,,Alistair Forrest,Released
Transfer learning associates CAFs with EMT and inflammation in tumor cells in human tumors and organoid co-culture in pancreatic ductal adenocarcinoma,phs003563.v1.p1,Freddie Pruitt,NCI DAC,,Elana Fertig,Released
Aberrant activation of wound healing programs within the metastatic niche facilitates lung colonization by osteosarcoma cells,phs003569.v1.p1,Justin Benavidez,NCI DAC,,Ryan Roberts,Released
Detecting and subtyping lung cancer through analysis of gene expression from circulating tumor DNA,phs003570.v1.p1,Freddie Pruitt,NCI DAC,,David Macpherson,Released
"Correlative studies in Protocol 18-279, which studies NeoVas, Montanide, nivolumab, and local ipilimunab in melanoma",phs003572.v1.p1,Freddie Pruitt,NCI DAC,Yes,Patrick Ott,Completed by GPA
Proteogenomic analysis of CALGB40601 (ALLIANCE) a neoadjuvant phase III HER2-positive breast cancer trial,phs003576.v1.p1,Grace Mishkin,NCI DAC,,Sumithra Mandrekar,Released
Phase II study of cryoablation and post-progression immune checkpoint inhibition in metastatic melanoma,phs003579.v1.p1,Grace Mishkin,NCI DAC,,Nir Hacohen,Released
"Sebaceous Neoplasm Tissue Study, 20190101",phs003580.v1.p1,Abid Al Reza,NCI DAC,,Gabriel Starrett,Completed by GPA
Correlative studies in NRG-GY021: Olaparib and tremelimumab in Ovarin cancer (CIMAC-CIDC),phs003583.v1.p1,Freddie Pruitt,NCI DAC,Yes,Sarah Adams,Completed by GPA
Correlative studies in Protocol #2017-0349: Nivolumab and Ipilimumab in AML/MDS post-allogenic transplantation (CIMAC-CDC),phs003585.v1.p1,Freddie Pruitt,NCI DAC,Yes,Gheath Al-Atrash,Completed by GPA
Luminal Androgen Receptor-Enriched tripple Negative Breast Cancer,phs003586.v1.p1,Freddie Pruitt,NCI DAC,,Jeffrey Chang,Released
The CHK1 inhibitor prexasertib in BRCA wild-type platinum-resistant recurrent high-grade serous ovarian carcinoma: a phase 2 trial,phs003588.v1.p1,Abid Al Reza,NCI DAC,,Jung-Min Lee,Completed by GPA
FIGHT-207- Anonymized Genomic Alterations and Clinical Responses,phs003590.v1.p1,Freddie Pruitt,NCI DAC,,Aidan Gilmartin,Released
Genomics analysis reveals molecular patterns of tumorigenesis in HPV-associated and HPV-independent sinonasal squamous cell carcinoma,phs003591.v1.p1,Kathleen Calzone,NCI DAC,,Nyall London,Released
ViPOR in Relapsed/Refractory B-Cell Lymphoma,phs003592.v1.p1,Abid Al Reza,NCI DAC,Yes,Christopher Melani,Completed by GPA
Ongoing Replication Stress Tolerance and Clonal T Cell Responses Distinguish Liver and Lung Recurrence and Patient Outcomes in Pancreatic Ductal Adenocarcinoma,phs003597.v1.p1,Freddie Pruitt,NCI DAC,,Rosalie Sears,Released
Comprehensive Genomic Data Deposition for Pancreatic Cancer Precision Medicine Studies: Clinical Trials NCT02451982 and NCT02648282,phs003600.v1.p1,Nathaniel Boyd,NCI DAC,,Lei Zheng,Released
"Circulating, cell-free methylated DNA reveals cellular sources of allograft injury after liver transplant",phs003610.v1.p1,Freddie Pruitt,NCI DAC,,Anton Wellstein,Released
Goblet Cell Adenocarcinoma Molecular Profiles,phs003611.v1.p1,Freddie Pruitt,NCI DAC,Yes,John Paul Shen,Completed by GPA
BET inhibition reforms the immune microenvironment and alleviates T-cell dysfunction in chronic lymphocytic leukemia,phs003613.v1.p1,Freddie Pruitt,NCI DAC,,Dalia Elgamal,Released
Defining intrinsic and acquired mechanisms of immune checkpoint blockade resistance in glioblastoma,phs003614.v1.p1,Freddie Pruitt,NCI DAC,,Gad Getz,Completed by GPA
Phase 2 study of Nivolumab and Entinostat in unresectable or metastatic cholangiocarcinoma and pancreatic adenocarcinoma,phs003615.v1.p1,Freddie Pruitt,NCI DAC,,Marina Baretti,Released
Addition of atezolizumab to carboplatin significantly improves survival of patients with metastatic triple-negative breast cancer: TBCRC 043 phase 2 randomized clinical trial,phs003617.v1.p1,Freddie Pruitt,NCI DAC,,Jennifer Pietenpol,Completed by GPA
Immune determinants of resistance to PD-1 blockade in renal cell carcinoma,phs003618.v1.p1,Freddie Pruitt,NCI DAC,,Catherine Wu,Released
Whole Exome and mtDNA Genome Sequencing of Pediatric Chordomas,phs003622.v1.p1,Freddie Pruitt,NCI DAC,,Xiaowu Gai,Completed by GPA
BIRC5 Upregulation Enhances DNMT3A-Mutant T-ALL Cell Survival and Pathogenesis,phs003623.v1.p1,Justin Benavidez,NCI DAC,,Grant Challen,Released
The Genomics of Cyclin E Localization in Breast Cancer Cells,phs003626.v1.p1,Sharna Tingle,NHGRI,,Richard Wilson,Completed by GPA
Subtyping of Small Cell Lung Cancer using ChIP-seq of plasma cell-free nucleosomes and matched tumor transcriptomes,phs003628.v1.p1,Abid Al Reza,NCI DAC,,Anish Thomas,Completed by GPA
Pre-existing skin-resident CD8 and gd T cell circuits mediate immune response in Merkel cell carcinoma and predict immunotherapy efficacy,phs003629.v1.p1,Freddie Pruitt,NCI DAC,,Kenneth Tsai,Released
Elucidating mechanisms of the graft versus leukemia effect of hematopoietic stem cell transplant for acute myeloid leukemia,phs003630.v1.p1,Freddie Pruitt,NCI DAC,,Catherine Wu,Released
"Clonal Evolution of Patients with CLL following Ibrutinib, chlorambucil or watch and wait",phs003631.v1.p1,Freddie Pruitt,NCI DAC,,Gad Getz,Completed by GPA
Whole exome sequencing and RNA sequencing of high grade serous ovarian cancer in black and white patients,phs003632.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Jennifer Doherty,Released
Genomic Analysis of Diffuse Large B Cell Lymphoma,phs003634.v1.p1,Freddie Pruitt,NCI DAC,,Anne Novak,Released
APOLLO-BRCA-1: Proteogenomic analysis of breast cancer in younger (<40 yo) vs older patients (>=60 yo),phs003636.v1.p1,Sean Hanlon,NCI DAC,Yes,Hai Hu,Completed by GPA
Long-read sequencing to identify inherited mutations predisposing to breast cancer,phs003638.v1.p1,Justin Benavidez,NCI DAC,,Mary-Claire King,Released
The somatic mutational landscape of thyroid cancer in patients with germline PTEN mutations,phs003640.v1.p1,Freddie Pruitt,NCI DAC,,Charis Eng,Released
Collagen XVII promotes pancreatic cancer through regulation of PIK3R5,phs003641.v1.p1,Justin Benavidez,NCI DAC,,Andrew Liss,Released
Characterization of the transcriptome for fibrolamellar,phs003643.v1.p1,Freddie Pruitt,NCI DAC,,Sanford Simon,Completed by GPA
Targeting SS18-SSX biology in sarcomerogenesis,phs003646.v1.p1,Justin Benavidez,NCI DAC,,Martin Hirst,Completed by GPA
Precision Interception of Gastric Cancer Precursors Through Molecular and Cellular Risk Stratification,phs003648.v1.p1,Claire Zhu,NCI DAC,,Hanlee Ji,Released
Establishment of an iPSC repository derived from healthy volunteers,phs003649.v1.p1,Sharna Tingle,NHGRI,,Ting Wang,Released
Efficacy and immune effects of anakinra prophylaxis for neurologic toxicity and cytokine release syndrome in patients with lymphoma receiving axicabtagene ciloleucel,phs003655.v1.p1,Freddie Pruitt,NCI DAC,,Marcela Maus,Released
The effects of long-term heavy metal exposure on transcriptome landscape in human peripheral blood cells,phs003657.v1.p1,Sharna Tingle,NHGRI,,Ani Stepanyan,Released
Methylation-based immune deconvolution in prostate cancer patients before and after radical prostatectomy,phs003660.v1.p1,Abid Al Reza,NCI DAC,,Peter Pinto,Released
Kids First: The genomic architecture of Hirschsprung Disease (HSCR),phs003662.v1.p1,Marcia Fournier,Kids First DAC,Yes,Aravinda Chakravarti,Released
Prostate Cancer Upgrading Reference Set,phs003670.v1.p1,Claire Zhu,NCI DAC,,Robin Leach,Released
Characterizing the Risk of Chemotherapy Side Effects Based on Epigenetic Age and Modification by Resistance Training Intervention,phs003671.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Alexandra Binder,Released
Multiomic analyses of neoadjuvant immunotherapy treated hepatocellular carcinoma,phs003672.v1.p1,Freddie Pruitt,NCI DAC,,Mark Yarchoan,Completed by GPA
Genomic and Immune Profiling of Breast Cancer Brain Metastases,phs003673.v1.p1,Freddie Pruitt,NCI DAC,,Carey Anders,Released
Chromothripsis in small cell lung carcinoma associated with carcinoid transformation,phs003676.v1.p1,Freddie Pruitt,NCI DAC,,Charles Rudin,Released
Genomic mechanisms of resistance to tyrosine kinase inhibitors (TKIs) in HER2+ metastatic breast cancer (HER2+ MBC),phs003677.v1.p1,Freddie Pruitt,NCI DAC,,Gad Getz,Completed by GPA
Cutaneous squamous cell carcinoma: integrating germline and somatic alterations that underlie tumor progression,phs003681.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Maryam Asgari,Completed by GPA
EWS-WT1 fusion isoforms establish oncogenic programs and therapeutic vulnerabilities in Desmoplastic Small Round Cell Tumors,phs003682.v1.p1,Freddie Pruitt,NCI DAC,,Miguel Rivera,Released
Somatic mutations in individual skin cells,phs003683.v2.p1,Justin Benavidez,NCI DAC,,Alan Shain,Released
MP2PRT: Evaluation of an inflammation polygenic risk score (iPRS) to predict cancer related cognitive impairment and fatigue in patients receiving chemotherapy for non-metastatic breast cancer in URCC0701 and URCC10055,phs003688.v1.p1,Grace Mishkin,NCI DAC,,Sarah Kerns,Released
Genomic alterations and transcriptional phenotypes in circulating tumor DNA and matched metastatic tumor,phs003689.v1.p1,Kathleen Calzone,NCI DAC,,Anish Thomas,Released
Single cell characterization of healthy and malignant hematopoiesis,phs003690.v1.p1,Joseph Flores-Toro,NCI DAC,,Ravindra Majeti,Completed by GPA
"Somatic mutations in 3,929 HPV-positive exfoliated cervical cell samples",phs003691.v1.p1,Geoffrey Tobias,NCI DAC,,Lisa Mirabello,Released
Proteogenomic characterization of difficult-to-treat breast cancer with tumor cells enriched through laser microdissection,phs003695.v1.p1,Freddie Pruitt,NCI DAC,,Craig Shriver,Completed by GPA
Evolving cell states and oncogenic drivers during the progression of IDH-mutant gliomas,phs003697.v1.p1,Justin Benavidez,NCI DAC,,Bradley Bernstein,Released
"Correlative studies in the OPTIMAL, trial (TOP17 05), which studied raivolumab, ipilimumab, and taxane in NSCLC, including studies in collaboration with CIMAC-CIDC",phs003698.v1.p1,Freddie Pruitt,NCI DAC,Yes,Jeffrey Clarke,Completed by GPA
"Botensilimab, an Fc-enhanced anti-CTLA-4 antibody, is effective against tumors poorly responsive to conventional immunotherapy",phs003704.v1.p1,Joseph Flores-Toro,NCI DAC,,Dhan Chand,Released
"Clinical outcomes and ctDNA correlates for CAPOX BETR: A phase II trial of capecitabine, oxaliplatin, bevacizumab, trastuzumab in previously untreated advanced HER2+ gastroesophageal adenocarcinoma",phs003706.v1.p1,Nathaniel Boyd,NCI DAC,,Harshabad Singh,Released
MP2PRT-MNG: Identifying novel molecular markers of response to radiotherapy in meningiomas using samples from the RTOG-0539 (NCT00895622),phs003707.v2.p1,Grace Mishkin,NCI DAC,,Kenneth Aldape,Released
A personalized neoantigen vaccine generates anti-tumor immunity in high-risk renal cell carcinoma,phs003710.v2,Nathaniel Boyd,NCI DAC,,Catherine Wu,Awaiting GPA's Approval
Early detection of malignant and pre-malignant peripheral nerve tumors using cell-free DNA fragmentomics,phs003712.v1.p1,Abid Al Reza,NCI DAC,,Jack Shern,Released
Mutation patterns predict drug response in acute myeloid leukemia,phs003715.v1.p1,Freddie Pruitt,NCI DAC,,Pamela Becker,Released
Molecular Analysis of Alliance A031201 study,phs003717.v1.p1,Grace Mishkin,NCI DAC,,Matthew Milowsky,Released
CALGB 140202,phs003719.v1.p1,Grace Mishkin,NCI DAC,,Jason Merker,Completed by GPA
Peritoneal metastasis evolution,phs003722.v1.p1,Justin Benavidez,NCI DAC,,Kamila Naxerova,Completed by GPA
Contextual and Health Behavior Effects on Epigenetic Aging Among Africans in the Family and Community Health Studies,phs003723.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Frederick Gibbons,Released
Carolina Breast Cancer Study,phs003725.v2.p1,Freddie Pruitt,NCI DAC,,Melissa Troester,Released
Multiomic profiling of adult acute myeloid leukemia patients,phs003728.v1.p1,Emilie Charlisse Caga-Anan,NCI DAC,,Ann-Kathrin Eisfeld,Completed by GPA
Epigenetic control of Topoisomerase 1 by macroH2A1.1,phs003729.v2.p1,Justin Benavidez,NCI DAC,,Philipp Oberdoerffer,Released
